# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Apr  1 18:53:37 2026
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
14 Her b,14 Her,0,1,2,1773.40002000000,2.50000000000,-2.50000000000,0,2.9300000000,0.0800000000,-0.0800000000,0,,,,,,,,,1481.08780000,47.67450000,-47.67450000,0,4.66000000,0.15000000,-0.15000000,0,Msini,0.370000,0.000000,0.000000,0,,,,,5338.00,25.00,-25.00,0,0.930000,0.010000,-0.010000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.93230000,0.00730000,-0.00730000,6.3830000,0.0003512,-0.0003512
14 Her b,14 Her,0,1,2,1766.00000000000,,,0,2.8640000000,,,0,,,,,,,,,1581.13800000,,,0,4.97500000,,,0,Msini,0.359000,,,0,,,,,5280.00,163.21,-128.17,0,1.002350,0.054000,-0.076000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.93230000,0.00730000,-0.00730000,6.3830000,0.0003512,-0.0003512
14 Her b,14 Her,0,1,2,1766.41000000000,0.67000000000,-0.68000000000,0,2.8300000000,0.0410000000,-0.0410000000,0,,,,,,,,,1541.46777395,47.67426105,-47.67426105,0,4.85000000,0.15000000,-0.15000000,0,Msini,0.367400,0.003500,-0.003800,0,,,,,5314.94,81.56,-81.56,0,0.995819,0.021652,-0.021652,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.93230000,0.00730000,-0.00730000,6.3830000,0.0003512,-0.0003512
14 Her b,14 Her,0,1,2,,,,,2.7300000000,,,0,,,,,,,,,1440.66300000,,,0,4.53300000,,,0,Msini,0.357000,,,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.93230000,0.00730000,-0.00730000,6.3830000,0.0003512,-0.0003512
14 Her b,14 Her,0,1,2,1724.00000000000,50.00000000000,-50.00000000000,0,2.8200000000,,,0,,,,,,,,,1554.12000000,,,0,4.89000000,,,0,Msini,0.370000,0.040000,-0.040000,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.93230000,0.00730000,-0.00730000,6.3830000,0.0003512,-0.0003512
14 Her b,14 Her,0,1,2,1773.40000000000,2.50000000000,-2.50000000000,0,2.7700000000,0.0500000000,-0.0500000000,0,,,,,,,,,1474.67000000,60.39000000,-60.39000000,0,4.64000000,0.19000000,-0.19000000,0,Msini,0.369000,0.005000,-0.005000,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.93230000,0.00730000,-0.00730000,6.3830000,0.0003512,-0.0003512
14 Her b,14 Her,0,1,2,1796.40000000000,8.30000000000,-8.30000000000,0,2.8000000000,,,0,,,,,,,,,1506.45000000,19.07000000,-19.07000000,0,4.74000000,0.06000000,-0.06000000,0,Msini,0.338000,0.011000,-0.011000,0,,,,,5255.00,50.00,-50.00,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.93230000,0.00730000,-0.00730000,6.3830000,0.0003512,-0.0003512
14 Her b,14 Her,1,1,2,,,,,2.8390000000,0.0390000000,-0.0410000000,0,,,,,,,,,2828.67282230,413.17692910,-540.30829190,0,8.90000000,1.30000000,-1.70000000,0,Mass,0.368300,0.002900,-0.002900,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.93230000,0.00730000,-0.00730000,6.3830000,0.0003512,-0.0003512
16 Cyg B b,16 Cyg B,0,3,1,799.50000000000,0.60000000000,-0.60000000000,0,1.6800000000,0.0300000000,-0.0300000000,0,,,,,,,,,533.93000000,22.25000000,-22.25000000,0,1.68000000,0.07000000,-0.07000000,0,Msini,0.689000,0.011000,-0.011000,0,,,,,5747.00,143.26,-142.80,0,1.128270,0.079865,-0.046165,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.13970000,0.01100000,-0.01110000,6.0642800,0.0006029,-0.0006029
16 Cyg B b,16 Cyg B,0,3,1,800.80000000000,11.70000000000,-11.70000000000,0,1.6000000000,,,0,,,,,,,,,476.70000000,,,0,1.50000000,,,0,Msini,0.634000,0.082000,-0.082000,0,,,,,5760.00,20.00,-20.00,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.13970000,0.01100000,-0.01110000,6.0642800,0.0006029,-0.0006029
16 Cyg B b,16 Cyg B,1,3,1,798.50000000000,1.00000000000,-1.00000000000,0,1.6600000000,0.0300000000,-0.0300000000,0,,,,,,,,,565.73740000,25.42640000,-25.42640000,0,1.78000000,0.08000000,-0.08000000,0,Msini,0.680000,0.020000,-0.020000,0,,,,,5750.00,8.00,-8.00,0,1.130000,0.010000,-0.010000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.13970000,0.01100000,-0.01110000,6.0642800,0.0006029,-0.0006029
16 Cyg B b,16 Cyg B,0,3,1,798.50000000000,1.00000000000,-1.00000000000,0,1.6810000000,0.0970000000,-0.0970000000,0,,,,,,,,,533.95440000,47.67450000,-47.67450000,0,1.68000000,0.15000000,-0.15000000,0,Msini,0.681000,0.017000,-0.017000,0,,,,,5674.00,,,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.13970000,0.01100000,-0.01110000,6.0642800,0.0006029,-0.0006029
16 Cyg B b,16 Cyg B,0,3,1,799.45000000000,0.15000000000,-0.15000000000,0,1.6760000000,0.0250000000,-0.0250000000,0,,,,,,,,,556.83536906,17.16273398,-16.84490557,0,1.75200000,0.05400000,-0.05300000,0,Msini,0.683200,0.003100,-0.003100,0,,,,,5711.97,93.25,-93.25,0,1.159464,0.027195,-0.027195,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.13970000,0.01100000,-0.01110000,6.0642800,0.0006029,-0.0006029
16 Cyg B b,16 Cyg B,0,3,1,799.50000000000,0.60000000000,-0.60000000000,0,1.6800000000,0.0300000000,-0.0300000000,0,,,,,,,,,533.93000000,22.25000000,-22.25000000,0,1.68000000,0.07000000,-0.07000000,0,Msini,0.689000,0.011000,-0.011000,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.13970000,0.01100000,-0.01110000,6.0642800,0.0006029,-0.0006029
17 Sco b,17 Sco,1,1,1,578.38000000000,2.01000000000,-2.09000000000,0,1.4500000000,0.0200000000,-0.0200000000,0,,,,,,,,,1373.01871824,47.67426105,-38.13940884,0,4.32000000,0.15000000,-0.12000000,0,Msini,0.060000,0.030000,-0.020000,0,,,,,4157.00,11.00,-10.00,0,25.920000,0.780000,-0.740000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h13m50.90s,243.4620874,-11d50m16.05s,-11.8377905,124.95300000,2.59000000,-2.59000000,4.7542900,0.0050550,-0.0050550
18 Del b,18 Del,1,2,1,982.85000000000,1.06000000000,-0.92000000000,0,2.4760000000,0.0020000000,-0.0020000000,0,,,,,,,,,2926.24614325,50.85254512,-24.47278734,0,9.20700000,0.16000000,-0.07700000,0,Msini,0.024000,0.007000,-0.018000,0,,,,,4980.00,,,0,8.800000,0.610000,-0.400000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,76.22200000,0.62170000,-0.62170000,5.2747600,0.0026539,-0.0026539
18 Del b,18 Del,0,2,1,,,,,2.5400000000,0.0400000000,-0.0400000000,0,,,,,,,,,3127.30000000,95.30000000,-95.30000000,0,9.84000000,0.30000000,-0.30000000,0,Msini,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,76.22200000,0.62170000,-0.62170000,5.2747600,0.0026539,-0.0026539
18 Del b,18 Del,0,2,1,993.30000000000,3.20000000000,-3.20000000000,0,2.6000000000,,,0,,,,,,,,,3273.50000000,,,0,10.30000000,,,0,Msini,0.080000,0.010000,-0.010000,0,,,,,4979.00,18.00,-18.00,0,8.500000,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,76.22200000,0.62170000,-0.62170000,5.2747600,0.0026539,-0.0026539
1RXS J160929.1-210524 b,1RXS J160929.1-210524,0,1,1,,,,,330.0000000000,,,0,,,,,,,,,4000.00000000,300.00000000,-300.00000000,0,12.00000000,1.00000000,-1.00000000,0,Mass,,,,,1700.00,100.00,-100.00,0,4060.00,300.00,-200.00,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,139.13500000,1.33200000,-1.30700000,12.0572000,0.0022750,-0.0022750
1RXS J160929.1-210524 b,1RXS J160929.1-210524,0,1,1,,,,,330.0000000000,,,0,,,,,,,,,3000.00000000,1000.00000000,-700.00000000,0,8.00000000,3.00000000,-2.00000000,0,Mass,,,,,1800.00,200.00,-200.00,0,3993.00,142.70,-159.97,0,1.313160,0.176833,-0.102363,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,139.13500000,1.33200000,-1.30700000,12.0572000,0.0022750,-0.0022750
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,1,,,,,330.0000000000,,,0,,,,,,,,,3000.00000000,300.00000000,-300.00000000,0,8.00000000,1.00000000,-1.00000000,0,Mass,,,,,1700.00,100.00,-100.00,0,4060.00,300.00,-200.00,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,139.13500000,1.33200000,-1.30700000,12.0572000,0.0022750,-0.0022750
